time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1524,2.5499991356093159,2.5499986877086349,2.5499967548750124,2.5499908905983379,2.5499741653577681,2.5499285409002401,2.5498098902894397,2.5495168229998444,2.5488310835501506,2.5473136189571446,2.5441409976862523,2.537876697748775,2.5261946796785244,2.5056065493003041,2.4712763269377795,2.417017000062859,2.3355282587777046,2.2188414388843856,2.0587761492074081,1.8469230436023023,1.5728738601205841
1525,2.5499991275705058,2.5499986761441713,2.5499967289967844,2.5499908252316845,2.5499739991720638,2.5499281309207866,2.5498089232928831,2.5495146587169439,2.5488265073642218,2.5473045042507025,2.5441239303596546,2.5378466954590668,2.5261452179823767,2.5055301302224486,2.4711657324114067,2.4168671456115098,2.3353382649426164,2.2186163020646341,2.0585273466874807,1.8466675966830242,1.5726316598284016
1526,2.5499991194673592,2.5499986644924952,2.549996702944735,2.5499907594779181,2.5499738321247456,2.5499277190979104,2.5498079525695179,2.5495124873864405,2.548821918809427,2.5472953695509353,2.5441068335354031,2.5378166539443421,2.526095710238585,2.5054536653605597,2.4710551034149089,2.4167172809376543,2.3351482961858108,2.2183912304582876,2.0582786448742802,1.8464122716542324,1.5723895798159093
1527,2.5499991112994511,2.5499986527530694,2.5499966767179338,2.5499906933352769,2.5499736642125357,2.5499273054258826,2.5498069781102073,2.5495103089953872,2.548817317870169,2.5472862148434277,2.5440897072072524,2.5377865732154201,2.5260461564822707,2.5053771547745036,2.470944440022369,2.4165674061081583,2.3349583525406685,2.2181662240441629,2.0580300436899814,1.8461570683871449,1.5721476199825863
1528,2.5499991030663538,2.5499986409253519,2.5499966503154456,2.5499906268019927,2.5499734954321469,2.5499268898989689,2.5498059999058094,2.5495081235308392,2.5488127045308659,2.5472770401138036,2.5440725513690086,2.5377564532831673,2.5259965567485692,2.5053005985241015,2.4708337423077578,2.4164175211897416,2.3347684340404471,2.217941282801049,2.0577815430568624,1.8459019867533504,1.5719057802266547
1529,2.5499990947676388,2.5499986290088006,2.549996623736333,2.5499905598762926,2.5499733257802859,2.5499264725114252,2.5498050179471767,2.5495059309798571,2.5488080787759544,2.5472678453477213,2.5440553660145291,2.5377262941584964,2.5259469110726287,2.5052239966691285,2.4707230103449374,2.4162676262489806,2.3345785407182835,2.2177164067077202,2.0575331428972268,1.8456470266258971,1.5716640604504484
1530,2.5499990864028739,2.5499986170028692,2.5499965969796525,2.5499904925563976,2.5499731552536522,2.5499260532574999,2.5498040322251572,2.5495037313295019,2.5488034405898898,2.5472586305308798,2.544038151137725,2.5376960958523709,2.5258972194896145,2.505147349269313,2.4706122442076541,2.4161177213523,2.3343886726071834,2.2174915957429078,2.0572848431335737,1.8453921878768496,1.5714224605483589
1531,2.5499990779716248,2.5499986049070098,2.5499965700444602,2.5499904248405243,2.5499729838489387,2.5499256321314343,2.5498030427305909,2.5495015245668378,2.5487987899571465,2.5472493956490152,2.5440209067325581,2.5376658583758003,2.5258474820347043,2.5050706563843375,2.4705014439695447,2.4159678065659809,2.334198829740032,2.2172668498853274,2.0570366436884311,1.8451374703793448,1.5711809804170611
1532,2.5499990694734551,2.5499985927206708,2.5499965429298066,2.5499903567268833,2.5499728115628293,2.549925209127462,2.5498020494543159,2.5494993106789319,2.5487941268622154,2.5472401406879008,2.544003632793042,2.5376355817398415,2.5257976987430912,2.5049939180738359,2.4703906097041357,2.4158178819561602,2.3340090121495911,2.217042169113669,2.0567885444844021,1.8448828740070495,1.5709396199528098
1533,2.5499990609079264,2.5499985804432987,2.5499965156347391,2.5499902882136811,2.5499726383920023,2.5499247842398085,2.5498010523871617,2.549497089652855,2.5487894512896077,2.547230865633348,2.5439863293132436,2.5376052659556017,2.5257478696499818,2.5049171343973984,2.4702797414848385,2.4156679475888239,2.3338192198684951,2.2168175534065897,2.0565405454442383,1.8446283986335534,1.5706983790483684
1534,2.549999052274599,2.5499985680743373,2.5499964881583015,2.5499902192991182,2.5499724643331296,2.5499243574626913,2.5498000515199548,2.5494948614756816,2.5487847632238516,2.5472215704712045,2.5439689962872798,2.5375749110342318,2.525697994790594,2.5048403054145671,2.4701688393849581,2.4155180035298205,2.3336294529292623,2.216593002742735,2.0562926464906708,1.8443740441333016,1.5704572575981672
1535,2.5499990435730302,2.5499985556132279,2.5499964604995342,2.5499901499813897,2.5499722893828753,2.5499239287903195,2.5497990468435159,2.5494926261344881,2.5487800626494947,2.5472122551873575,2.5439516337093213,2.5375445169869315,2.5256480742001628,2.5047634311848395,2.4700579034776848,2.4153680498448482,2.3334397113642829,2.2163685171007157,2.0560448475465822,1.8441198103809069,1.5702162554941328
